Permission Name,Description,Privileged
PermissionsAssocIncAndProb,Associate Incidents and Problems,FALSE
PermissionsAssocRelAndChgRqst,Associate Releases and Change Requests,FALSE
PermissionsAssocRelAndInc,Associate Releases and Incidents,FALSE
PermissionsAssocRelAndProb,Associate Releases and Problems,FALSE
PermissionsAttributionModelUser,Attribution Model User,FALSE
PermissionsAuthorApex,Author Apex,TRUE
PermissionsAuthorizePayments,Authorize Payments,FALSE
PermissionsAutomaticActivityCapture,Use Einstein Activity Capture,FALSE
PermissionsAutonomousAnalyticsPrivacy,Manage Autonomous Insights Data Privacy,FALSE
PermissionsB2BMarketingAnalyticsUser,Create B2B Marketing Analytics Apps,FALSE
PermissionsBACommunityAccess,Enable community users to access Benefit Assistance objects and features.,FALSE
PermissionsBenefitManagementAccess,"Allows internal org users to access Programs, Benefits, and Goal objects and features.",FALSE
PermissionsBillingPaymentApiUser,Apply and Unapply Payments Using APIs,FALSE
PermissionsBillingRefundApiUser,Apply and Unapply Refunds Using APIs,FALSE
PermissionsBotManageBots,Manage Bots,FALSE
PermissionsBotManageBotsTrainingData,Manage Bots Training Data,FALSE
PermissionsBranchManagementUserAccess,User license to access Branch Management in Financial Services Cloud.,FALSE
PermissionsBREAlertsUserAccess,Access Record Alerts for Business Rules Engine,FALSE
PermissionsBroadcaster,Send One-to-Many Messages,FALSE
PermissionsBulkApiHardDelete,Bulk API Hard Delete,TRUE
PermissionsBulkMacrosAllowed,Run Macros on Multiple Records,FALSE
PermissionsBVCommunityAccess,Use objects in the Benefit Verification data model via Experience Cloud sites,FALSE
PermissionsBypassMFAForUiLogins,Waive Multi-Factor Authentication for Exempt Users,TRUE
PermissionsCallCoachingUser,Use Conversation Insights for Sales,FALSE
PermissionsCallExplorer,Einstein Question and Answer for ECI Calls,FALSE
PermissionsCampaignInfluence2,Campaign Influence,FALSE
PermissionsCanAccessCE,Access Conversation Entries,FALSE
PermissionsCanApproveFeedPost,Can Approve Feed Post and Comment,FALSE
PermissionsCanApproveUninstalledApps,Approve Uninstalled Connected Apps,FALSE
PermissionsCanDoActAsUser,Act As User,TRUE
PermissionsCanEditDataPrepRecipe,Edit Dataset Recipes,FALSE
PermissionsCanEditPrompts,Design and Deliver In-App Guidance,FALSE
PermissionsCanInitiateMessagingSessions,Initiate Messaging Sessions,FALSE
PermissionsCanInsertFeedSystemFields,Insert System Field Values for Chatter Feeds,FALSE
PermissionsCanManageMaps,Manage CRM Analytics Custom Maps,FALSE
PermissionsCanMarketingUserDebugFlow,Can Marketing User Debug Marketing Flows,FALSE
PermissionsCanRunAnalysis,Can Run Einstein Discovery for Reports,FALSE
PermissionsCanSendInitialSMSToIndividual,Send Initial SMS Message to Individual,FALSE
PermissionsCanTranslateScrt2Conversation,Translate Enhanced Conversations,FALSE
PermissionsCanUpdateEmailMessage,Update Email Messages,FALSE
PermissionsCanUseNewDashboardBuilder,Drag-and-Drop Dashboard Builder,FALSE
PermissionsCanVerifyComment,Verify Answers to Chatter Questions,FALSE
PermissionsCanViewDataPrepRecipe,Recipes View Only,FALSE
PermissionsCaptureAndReversePayments,Capture and Reverse Payments,FALSE
