Permission Name,Description,Privileged
PermissionsLMEndMessagingSessionUserPerm,End Messaging Session,FALSE
PermissionsLMOutboundMessagingUserPerm,Agent Initiated Outbound Messaging,FALSE
PermissionsLobbyManagementUserAccess,Let greeters access the Lobby Management tab.,FALSE
PermissionsLPICommunityAccess,Grant community users access to LPI features.,FALSE
PermissionsLtngPromoReserved01UserPerm,Remain in Salesforce Classic,FALSE
PermissionsMakePayments,Make Payments,FALSE
PermissionsManageAccessPolicies,Manage Access Policies,TRUE
PermissionsManageAgentforceServiceAgent,Manage Agentforce Service Agents,TRUE
PermissionsManageAnalyticSnapshots,Manage Reporting Snapshots,FALSE
PermissionsManageAuthProviders,Manage Auth. Providers,TRUE
PermissionsManageBusinessHourHolidays,Manage Business Hours Holidays,FALSE
PermissionsManageBusinessUnit,View/Create/Update(Restricted) Business Unit,FALSE
PermissionsManageC2CHighVolumePriming,Manage Cross-Cloud High-Volume Priming,FALSE
PermissionsManageC360AConnections,Connect Org to Data Cloud,FALSE
PermissionsManageCallCenters,Manage Call Centers,FALSE
PermissionsManageCampaigns,Manage Campaigns,FALSE
PermissionsManageCases,Manage Cases,FALSE
PermissionsManageCategories,Manage Categories,FALSE
PermissionsManageCdpMlModels,Allow users to manage models in Einstein Studio,FALSE
PermissionsManageCertificates,Manage Certificates,TRUE
PermissionsManageCertificatesExpiration,Receive Certificate Expiration Notifications,FALSE
PermissionsManageChatterMessages,Manage Chatter Messages and Direct Messages,FALSE
PermissionsManageClinicalDataModel,Provides access to Clinical Data Model entities for LifeSciences Users,FALSE
PermissionsManageClinicalTrials,Design and run clinical trials.,FALSE
PermissionsManageCMS,Create CMS Workspaces and Channels,FALSE
PermissionsManageContentLinks,Manage Content Links,FALSE
PermissionsManageContentPermissions,Manage Content Permissions,FALSE
PermissionsManageContentProperties,Manage Content Properties,FALSE
PermissionsManageContentTaxonomy,Manage Content Taxonomy,FALSE
PermissionsManageContentTypes,Manage record types and layouts for Files,FALSE
PermissionsManageConvMiningReports,View and generate Einstein Conversation Mining reports,FALSE
PermissionsManageCssUsers,Manage Customer Users,FALSE
PermissionsManageCustomDomains,Manage Custom Domains,TRUE
PermissionsManageCustomPermissions,Manage Custom Permissions,TRUE
PermissionsManageCustomReportTypes,Manage Custom Report Types,FALSE
PermissionsManageDashbdsInPubFolders,Manage Dashboards in Public Folders,FALSE
PermissionsManageDataCategories,Manage Data Categories,FALSE
PermissionsManageDataIntegrations,Manage Data Integrations,TRUE
PermissionsManageDataMaskPolicies,Manage Data Mask Policies,TRUE
PermissionsManageDataProcessingEngine,Allow users to access the features of Data Processing Engine to transform data that is available in your Salesforce org.,TRUE
PermissionsManageDataspaceScope,Manage Dataspace Scope,FALSE
PermissionsManageDevSandboxes,Manage Dev Sandboxes,TRUE
PermissionsManageDynamicDashboards,Manage Dynamic Dashboards,FALSE
PermissionsManageEinsteinSalesCoach,Configure Agentforce Sales Coach,FALSE
PermissionsManageEmailClientConfig,Manage Email Client Configurations,FALSE
PermissionsManageEmailContent,Manage Email Content,FALSE
PermissionsManageEmailMessagingSetup,Manage Email Messaging Setup,FALSE
PermissionsManageEncryptionKeys,Manage Encryption Keys,TRUE
PermissionsManageEntitlements,Manage Entitlements,FALSE
PermissionsManageExchangeConfig,Manage Lightning Sync,FALSE
PermissionsManageExternalConnections,Allow user to modify Private Connections,TRUE
PermissionsManageFilesAndAttachments,Manage Policies' Files And Attachments,FALSE
PermissionsManageForecastingCustomData,Manage Forecasts Custom Data,FALSE
PermissionsManageGlobalPrivacyCenterVO,Manage Cross Cloud Privacy Center,FALSE
PermissionsManageHcProviderRelMgmt,Manage Health Cloud Provider Relationship Management,FALSE
PermissionsManageHealthCheck,Manage Health Check,TRUE
PermissionsManageHealthCloud,Manage Health Cloud,FALSE
PermissionsManageHealthCloudFinancialData,Manage Health Cloud Financial Data,FALSE
PermissionsManageHerokuAppLink,Manage Heroku AppLink,FALSE
PermissionsManageHubConnections,Connect Org to Customer 360 Data Manager,TRUE
PermissionsManageIndustriesVisit,Manage Industries Visit,FALSE
PermissionsManageIntegrationConnections,Manage Integration Connections,TRUE
PermissionsManageIntelligenceApp,Manage Commerce Intelligence App,FALSE
PermissionsManageInteraction,Manage Flow,FALSE
PermissionsManageInternalUsers,Manage Internal Users,TRUE
PermissionsManageIpAddresses,Manage IP Addresses,TRUE
PermissionsManageKnowledge,Manage Salesforce Knowledge,FALSE
PermissionsManageKnowledgeImportExport,Manage Knowledge Article Import/Export,FALSE
PermissionsManageLeads,Manage Leads,FALSE
PermissionsManageLearningReporting,Manage Learning Reporting,FALSE
PermissionsManageLoginAccessPolicies,Manage Login Access Policies,TRUE
PermissionsManageMobile,Manage Mobile Configurations,FALSE
PermissionsManageMobileAppSecurity,Manage Enhanced Mobile App Security,TRUE
PermissionsManageMyExternalUsers,Manage External Users (Limited),FALSE
PermissionsManageNamedCredentials,Allows users to modify Named Credentials and External Credentials,TRUE
PermissionsManageNetworks,Create and Set Up Experiences,TRUE
PermissionsManageOCIRecords,Manage Omnichannel Inventory Records,FALSE
PermissionsManageOrchestrationRuns,Manage Orchestration Runs,FALSE
PermissionsManageOrchInstsAndWorkItems,Manage Orchestration Runs and Work Items,FALSE
PermissionsManageOutcomeManagement,Manage Outcomes,FALSE
PermissionsManagePartners,Manage External Users,FALSE
PermissionsManagePasswordPolicies,Manage Password Policies,TRUE
PermissionsManagePatientProgramOutcomes,Manage Patient Program Outcomes,FALSE
PermissionsManagePersonalOrg,Manage Personal Org,FALSE
PermissionsManagePersonalOrgTasks,Manage Personal Org Tasks,FALSE
PermissionsManagePharmacyBenefitsVerf,Gives users access to verify and reverify pharmacy benefits.,FALSE
PermissionsManagePreferenceCenter,Manage Preference Manager,FALSE
PermissionsManageProductCatalog,Manage Product Catalog,FALSE
PermissionsManageProductDiscovery,Manage Product Discovery,FALSE
PermissionsManageProductIndexAndSearch,"Create and delete indexes for Product Catalog Management, and configure product browsing options.",FALSE
PermissionsManageProfilesPermissionsets,Manage Profiles and Permission Sets,TRUE
PermissionsManageProgramManagement,Advanced Program Management,FALSE
PermissionsManagePromptTemplates,Manage Prompt Templates,FALSE
PermissionsManagePropositions,Manage Next Best Action Recommendations,FALSE
PermissionsManageProviderSearch,Manage Provider Search,FALSE
PermissionsManagePvtRptsAndDashbds,Manage All Private Reports and Dashboards,FALSE
PermissionsManageQuotas,Manage Quotas,FALSE
PermissionsManageRecommendationStrategies,Manage Next Best Action Strategies,FALSE
PermissionsManageReleaseUpdates,Manage Release Updates,FALSE
PermissionsManageRemoteAccess,Manage Connected Apps,TRUE
PermissionsManageReportsInPubFolders,Manage Reports in Public Folders,FALSE
PermissionsManageRoles,Manage Roles,TRUE
PermissionsManageSALifecycle,Manage Service Appointment Lifecycle,FALSE
PermissionsManageSandboxes,Manage Sandboxes,TRUE
PermissionsManageSearchPromotionRules,Manage Promoted Search Terms,FALSE
PermissionsManageSecurityCommandCenter,Manage Security Center,TRUE
PermissionsManageSessionPermissionSets,Manage Session Permission Set Activations,TRUE
PermissionsManageSharing,Manage Sharing,TRUE
PermissionsManageSiteManagement,Manage Site Management,TRUE
PermissionsManageSiteProfile,Manage Site and Investigator Profile,TRUE
PermissionsManageSmartDataDiscovery,Manage Einstein Discovery,FALSE
PermissionsManageSmartDataDiscoveryModel,Can Deploy and Manage Einstein Discovery predictions,FALSE
PermissionsManageSocialDeterminant,Enable access to the Manage Social Determinants Data Model for Life Sciences users in a Salesforce org.,FALSE
PermissionsManageSolutions,Manage Published Solutions,FALSE
PermissionsManageStores,Manage Stores,FALSE
PermissionsManageSubscriptions,Manage CRM Analytics Subscriptions,FALSE
PermissionsManageSurveys,Manage Surveys,FALSE
PermissionsManageSvcCatalog,Manage Service Catalog,FALSE
PermissionsManageSynonyms,Manage Synonyms,FALSE
PermissionsManageTemplatedApp,Manage CRM Analytics Templated Apps,FALSE
PermissionsManageTrialMgmtRandomization,Manage Trial Management Randomization,FALSE
PermissionsManageTrustMeasures,Manage Trust Measures,FALSE
PermissionsManageTwoFactor,Manage MFA in API,TRUE
PermissionsManageUnlistedGroups,Manage Unlisted Groups,FALSE
PermissionsManageUsers,Manage Users,TRUE
PermissionsMassInlineEdit,Mass Edits from Lists,FALSE
PermissionsMaterialLineUser,Create Material Lines,FALSE
PermissionsMCPMetadataApi,MCPMetadataApi,TRUE
PermissionsMergeAndSplitGroups,Merge and Split Groups,FALSE
PermissionsMergeTopics,Merge Topics,FALSE
PermissionsMetadataStudioUser,Metadata studio User,FALSE
PermissionsMicrobatching,Use Micro-Batching to Create Records,FALSE
PermissionsMngBenVerfForAssistiveAgnt,Gives AI agents access to the objects and fields required to reverify benefits.,FALSE
PermissionsMngFinancialAssistanceProgram,Access PSP Financial Assistance,FALSE
PermissionsMobileAppSecurity,Enforce Enhanced Mobile App Security,FALSE
PermissionsMobileMessagingAgent,Message on Mobile,FALSE
PermissionsModerateChatter,Moderate Chatter,FALSE
PermissionsModerateNetworkFeeds,Moderate Experience Cloud Site Feeds,FALSE
PermissionsModerateNetworkFiles,Moderate Files in Experience Cloud Sites,FALSE
PermissionsModerateNetworkMessages,Moderate Chatter Messages in Experience Cloud Sites,FALSE
PermissionsModerateNetworkUsers,Moderate Experience Cloud Site Users,FALSE
PermissionsModifyAccessAllowPolicies,Modify Allow Data Governance Policies,FALSE
PermissionsModifyAccessDenyPolicies,Modify Deny Data Governance Policies,FALSE
PermissionsModifyAllData,Modify All Data,TRUE
PermissionsModifyAllDataGovClassif,Modify All Data Governance Classification Tags,FALSE
PermissionsModifyAllDataGovClsfTax,Modify All Data Governance Classification Taxonomies,FALSE
PermissionsModifyAllDataGovPolicies,Modify All Data Governance Policies,FALSE
PermissionsModifyAllDataGovTagAssign,Modify All Data Governance Tag Assignments,FALSE
PermissionsModifyAllDataGovTags,Modify All Data Governance Tags,FALSE
PermissionsModifyAllDataGovTax,Modify All Data Governance Tag Taxonomies,FALSE
PermissionsModifyAllPolicyCenterPolicies,Modify All Policy Center Policies,FALSE
PermissionsModifyDataClassification,Modify Data Classification,FALSE
PermissionsModifyMetadata,Modify Metadata Through Metadata API Functions,TRUE
PermissionsMonitorLoginHistory,Monitor Login History,TRUE
PermissionsMortgageUserAccess,User license to access Mortgage in Financial Services Cloud.,FALSE
PermissionsMultiStepSchedulingUser,Manage Multi-Step Scheduling features,FALSE
PermissionsNativeWebviewScrolling,Salesforce Mobile App: Native scrolling on webviews,FALSE
PermissionsNewReportBuilder,Report Builder,FALSE
PermissionsObligationAssignee,"Allows the obligation assignees to manage obligations within a parent object. For example, in the Contract object, monitor tasks and compliance status.",FALSE
PermissionsObligationDEAssignee,"Allows the obligation assignees to manage obligations in a parent object on Digital Experience sites. For example, in the Contract object, monitor tasks and compliance status.",FALSE
PermissionsObligationDEManager,"Allows obligation managers to create and define obligations in a parent object on Digital Experience sites. For example, in the Contract object, extract and define obligations, and assign obligations to an assignee.",FALSE
PermissionsObligationDEUser,"Allows users to only view obligations in a parent object on Digital Experience sites. For example, Contract.",FALSE
PermissionsObligationManager,"Allows obligation managers to create and define obligations in a parent object. For example, in the Contract object, extract and define obligations, and assign obligations to an assignee.",FALSE
PermissionsObligationUser,Allows users to only view obligations.,FALSE
PermissionsOmniAssistiveActionUser,OmniAssistiveActionUser,FALSE
PermissionsOmnichannelInventoryBasic,Omnichannel Inventory Basic,FALSE
PermissionsOmnichannelInventorySync,Omnichannel Inventory Sync,FALSE
PermissionsOmniStudioDesigner,Enables admin/developer to create new OS/DR/VIP instances.,FALSE
PermissionsOmniStudioRuntime,"Enables business users to execute OmniScripts, DRs, Cards, etc, in employee facing apps.",FALSE
PermissionsOmniStudioRuntimeCC,"Enables consumers and partners  to execute OmniScripts, DRs, Cards through a Community or off platform.",FALSE
PermissionsOmniSupervisorManageQueue,Manage Queue Memberships,FALSE
PermissionsOpportunityScoreUser,Use Einstein Opportunity Scoring,FALSE
PermissionsOptOutGeoLocationTracking,Exclude Technician from Geolocation Tracking,FALSE
PermissionsOrderSubmitUser,Submit Transactions and Fulfilment User,FALSE
PermissionsOrderToBSAPIUser,Access Order to Billing Schedule API,FALSE
PermissionsOrderToInvoiceAPIUser,Access Order to Invoice API,FALSE
PermissionsOrgPerformanceAccess,Org Performance Access,FALSE
PermissionsOutboundMigrationToolsUser,Create and Upload Change Sets,FALSE
PermissionsOverrideForecasts,Override Forecasts,FALSE
PermissionsPackaging2,Create and Update Second-Generation Packages,TRUE
PermissionsPackaging2Delete,Delete Second-Generation Packages,TRUE
PermissionsPackaging2PromoteVersion,Promote a package version to released,TRUE
PermissionsParticipateClinicalTrials,Let external users view and enroll in research studies.,FALSE
PermissionsPasswordNeverExpires,Password Never Expires,TRUE
PermissionsPaymentsAPIUser,Payments Api User,FALSE
PermissionsPaymentSchedulerUser,Payments Scheduler User,FALSE
PermissionsPerformanceAnalysisAccess,Performance Analysis Access,FALSE
PermissionsPersonalizationDecisioningUser,Provides users access to the Personalization Decisions invocable action.,FALSE
PermissionsPersonalizationIntelUser,Personalization Intelligence User,FALSE
PermissionsPersonalizationPlatform,Access Personalization Platform,FALSE
PermissionsPersonalizedFinanceUserAccess,Data Cloud FlexCards for Financial Services Cloud,FALSE
PermissionsPipelineInspectorUser,Pipeline Inspection User,FALSE
PermissionsPortalSuperUser,Portal Super User,FALSE
PermissionsPreventClassicExperience,Hide Option to Switch to Salesforce Classic,FALSE
PermissionsPreviewExperienceUser,Allow access to  Preview Experience,FALSE
PermissionsPreviewTestSendEmail,Send Test Email,FALSE
PermissionsPriceSheetConfiguration,Configure Price Sheets,FALSE
PermissionsPricingRuleUser,Configure price rules,FALSE
PermissionsPrismBackofficeUser,Prism Backoffice User,FALSE
PermissionsPrismPlaygroundUser,Prism Playground User,FALSE
PermissionsPrivacyDataAccess,Allow user to access privacy data,TRUE
PermissionsPRMChannelMgmtConsoleUser,View Channel Management Console,FALSE
PermissionsPrmEnhancedPortalUser,PRM Enhanced Portal User,FALSE
PermissionsPrmExtIntPrtnrAdminUser,Set Up Partner Connect for a Partner Org,FALSE
PermissionsProductAdmin,Product Admin,FALSE
PermissionsProductCatalogApiAccess,View Product Catalog via API,FALSE
PermissionsProductCatalogMgmtApiCCAccess,View Product Catalog via API for Customer Community User,FALSE
PermissionsProductCatalogMgmtApiPCAccess,View Product Catalog via API for Partner Community User,FALSE
PermissionsProductCatalogMgmtBaseCCUser,View Product Catalog for Customer Community User,FALSE
PermissionsProductCatalogMgmtBasePCUser,View Product Catalog for Partner Community User,FALSE
PermissionsProductConfigurationRuleAccess,Manage Configurator with Business Rules Engine,FALSE
PermissionsProductDiscoveryUser,Allow access to Product Discovery,FALSE
PermissionsProposeMajorIncidents,Propose Major Incidents,FALSE
PermissionsProviderSearchUserAccess,Permission to access internal entities for provider search,FALSE
PermissionsPublicSectorPlatformUserAccess,Grant users access to Public Sector features.,FALSE
PermissionsPublishArticles,Publish Articles,FALSE
PermissionsPublishMultiforce,Upload AppExchange Packages,FALSE
PermissionsPublishPackaging,Upload AppExchange Packages,TRUE
PermissionsPublishTranslation,Article Translation - Publish,FALSE
PermissionsQrCodeGeneratorMobilePublisherPlayground,Mobile Publisher QR Code Generator Playground User,FALSE
PermissionsQueryAllFiles,Query All Files,TRUE
PermissionsQueryNonVetoedFiles,Query Non Vetoed Files,FALSE
PermissionsQuipMetricsAccess,Quip Metrics,FALSE
PermissionsQuipUserEngagementMetrics,Quip User Engagement Metrics,FALSE
PermissionsQuoteToOrderUser,Create Orders from Quotes,FALSE
PermissionsReadConfigurationItemInformation,Allows user to read CMDB associations details.,FALSE
PermissionsReassignOrchestrationWorkItems,Reassign Orchestration Work Items,FALSE
PermissionsRebookWithAgentforceFromDispatchConsole,Rebook with Agentforce from Dispatch Console,FALSE
PermissionsRecommendedActions,Recommended Actions,FALSE
PermissionsRecordAggregationAccess,Record Aggregation Access,FALSE
PermissionsRecordVisibilityAPI,Enable RecordVisibility API,TRUE
PermissionsRefundPayments,Refund Payments,FALSE
PermissionsRemoveDirectMessageMembers,Remove People from Direct Messages,FALSE
PermissionsReopenChangeRequests,Reopen Change Requests,FALSE
PermissionsReopenProblems,Reopen Problems,FALSE
PermissionsResetPasswords,Reset User Passwords and Unlock Users,TRUE
PermissionsResolveChgRqstAssoc,Resolve Change Request Associations,FALSE
PermissionsResolveIncAssoc,Resolve Incident Associations,FALSE
PermissionsResolveProbAssoc,Resolve Problem Associations,FALSE
PermissionsRespondToSocialInsuranceClaims,Respond to Social Insurance Claims,FALSE
PermissionsRevenueIntelligenceUser,Revenue Intelligence User,FALSE
PermissionsRevenueProductImportUser,Import Products Using Subscription Management Console,FALSE
PermissionsReviewBuyingCommittee,Allow access to Review Buying Committee in Einstein Copilot,FALSE
PermissionsReviewMyDay,Review My Day,FALSE
PermissionsRunCatalogItemsOnBehalfOf,Run Catalog Items As User,FALSE
PermissionsRunContextRule,Run Context Rules,FALSE
PermissionsRunDecisionMatrix,Run Decision Matrices,FALSE
PermissionsRunExpressionSet,Run Expression Sets,FALSE
PermissionsRunFlow,Run Flows,TRUE
PermissionsRunReports,Run Reports,FALSE
PermissionsRunTrialMgmtRandomization,Run Trial Management Randomization,FALSE
PermissionsSalesActionPlansUserAccess,Permission to access the Sales Action Plans feature,FALSE
PermissionsSalesConsole,Sales Console,FALSE
PermissionsSalesforceForecastingUser,Forecast on Any Business Model,FALSE
PermissionsSalesforceIQInbox,Use Inbox,FALSE
PermissionsSalesforceIQInternal,Allows the Cloud Integration User to perform SalesforceIQ internal operations,FALSE
PermissionsSalesforceMeetingsUserPerm,Use Salesforce Meetings,FALSE
PermissionsSalesInsightsUser,Sales Insights User,FALSE
PermissionsSalesMeetingFollowUpEmail,Sales Meeting Follow-Up Emails,FALSE
PermissionsSandboxTestingInCommunityApp,Test Sandboxes in Mobile Publisher for Experience Cloud,FALSE
PermissionsSCEViewAllData,View Opportunity Scoring Model Factors,FALSE
PermissionsScheduleJob,Schedule Dashboards,FALSE
PermissionsScheduleReports,Schedule Reports,FALSE
PermissionsScoringFrameworkAdmin,Scoring Framework Admin,FALSE
PermissionsScoringFrameworkUser,Scoring Framework User,FALSE
PermissionsSDCommunityAccess,Use objects in the Social Determinants data model via Experience Cloud sites,FALSE
PermissionsSegmentIntelligenceUser,Segment Intelligence User,FALSE
PermissionsSelectFilesFromSalesforce,Select Files from Salesforce,FALSE
PermissionsSendAnnouncementEmails,Send announcement emails,FALSE
PermissionsSendCustomNotifications,Send Custom Notifications,FALSE
PermissionsSendEmail,Send Unified Messaging Email,FALSE
PermissionsSendExternalEmailAvailable,Send Email through External Email Service,FALSE
PermissionsSendMeetingRequest,Permission for Send Meeting Request.,FALSE
PermissionsSendSitRequests,Send Stay-in-Touch Requests,FALSE
PermissionsServiceECIUser,Use Conversation Insights for Service,FALSE
PermissionsServiceExcellencePlatformUser,Service Excellence Platform User,FALSE
PermissionsSessionScopeContext,Provides access to create session scope context.,FALSE
PermissionsSetupAgentBuilder,Manage Agent for Setup,FALSE
PermissionsSetupAgentUser,Access Agent for Setup,FALSE
PermissionsShareFilesWithNetworks,Share Files with People in Experience Cloud sites,FALSE
PermissionsShareInternalArticles,Share internal Knowledge articles externally,FALSE
PermissionsShareSmartDataDiscoveryStory,Share Einstein Discovery Models,FALSE
PermissionsShowCompanyNameAsUserBadge,Show Company Name as Site Role,FALSE
PermissionsShowPreWorkBriefGA,Show Pre-Work Brief,FALSE
PermissionsSimpleCsvDataImportUser,Basic Csv Data Import User Permission,FALSE
PermissionsSkipIdentityConfirmation,Skip Device Activation at Login,TRUE
PermissionsSlackCibUser,Financial Services Cloud for Slack User,FALSE
PermissionsSlackFromTableau,Slack from Tableau Next,FALSE
PermissionsSlackRecordChannels,Access Slack Record Channels,FALSE
PermissionsSmartDataDiscoveryForCommunity,Smart Data Discovery for experience users,FALSE
PermissionsSolutionImport,Import Solutions,FALSE
PermissionsSonicConsumer,Use Data Pipeline Base,FALSE
PermissionsStageManagementDesignUser,Stage Management Designer User,FALSE
PermissionsStageManagementUser,Stage Management User,FALSE
PermissionsStdAutomaticActivityCapture,Use Einstein Activity Capture Standard,FALSE
PermissionsStoryOnDSWithPredicate,Ignore predicate when creating model from dataset,FALSE
PermissionsSubmitForTranslation,Article Translation - Submit for Translation,FALSE
PermissionsSubmitMacrosAllowed,Manage Macros Users Can't Undo,TRUE
PermissionsSubscribeDashboardRolesGrps,Subscribe to Dashboards: Send to Groups and Roles,FALSE
PermissionsSubscribeDashboardToOtherUsers,Subscribe to Dashboards: Add Recipients,FALSE
PermissionsSubscribeReportRolesGrps,Subscribe to Reports: Send to Groups and Roles,FALSE
PermissionsSubscribeReportsRunAsUser,Subscribe to Reports: Set Running User,FALSE
PermissionsSubscribeReportToOtherUsers,Subscribe to Reports: Add Recipients,FALSE
PermissionsSubscribeToLightningDashboards,Subscribe to Dashboards,FALSE
PermissionsSubscribeToLightningReports,Subscribe to Reports,FALSE
PermissionsSubscriptionManagementUser,Allow access to Subscription Management,FALSE
PermissionsSubscrMgmtAmendDecreaseUser,Decrease Subscription Quantity,FALSE
PermissionsSubscrMgmtAmendIncreaseUser,Increase Subscription Quantity,FALSE
PermissionsSubscrMgmtCancelUser,Cancel Subscriptions,FALSE
PermissionsSubscrMgmtOrderItemToAssetUser,Create Assets from Order Items,FALSE
PermissionsSubscrMgmtOrderToAssetUser,Create Assets from Orders,FALSE
PermissionsSubscrMgmtPymtSchedAutomation,Automate Payment Scheduling,FALSE
PermissionsSubscrMgmtRefundAutomation,Automate Refunds,FALSE
PermissionsSubscrMgmtRenewalUser,Renew Subscriptions,FALSE
PermissionsSvcInnovationsEinsteinFeatr,Summarize record details using Einstein generative AI.,FALSE
PermissionsTableauCreateDashboard,Access to create Tableau Next dashboards,FALSE
PermissionsTableauCreateVisualization,Access to create Tableau Next visualizations,FALSE
PermissionsTableauCreateWorkspace,Access to create Tableau Next workspaces,FALSE
PermissionsTableauMetricCards,View Tableau Next Metrics,FALSE
PermissionsTableauShareSnapshot,Tableau Next Share Snapshot,FALSE
PermissionsTableauViewDashboard,Access to view Tableau Next dashboards,FALSE
PermissionsTableauViewVisualization,Access to view Tableau Next visualizations,FALSE
PermissionsTableauViewWorkspace,Access to view Tableau Next workspaces,FALSE
PermissionsTerritoryOperations,Administer territory operations,FALSE
PermissionsTraceXdsQueries,Access Tracer for External Data Sources,FALSE
PermissionsTransactionalEmailSend,Send Non-Commercial Email,FALSE
PermissionsTransactionSecurityExempt,Exempt from Transaction Security,TRUE
PermissionsTransferAnyCase,Transfer Cases,TRUE
PermissionsTransferAnyEntity,Transfer Record,TRUE
PermissionsTransferAnyLead,Transfer Leads,TRUE
PermissionsTriggerDataGovAutoTagging,Enable Data Governance Suggest Tags,FALSE
PermissionsTwoFactorApi,Multi-Factor Authentication for API Logins,FALSE
PermissionsUmaQueryCMSEmailContent,Query CMS Email Content,FALSE
PermissionsUnifiedHealthScoringUser,"View and assign scores for accounts, contacts, and leads using the Unified Health Scoring feature.",FALSE
PermissionsUnmeteredUserBasedAI,Unmetered User Based AI,FALSE
PermissionsUpdateReportTypeReferences,Update Report Type References in Semantic Search,FALSE
PermissionsUpdateWithInactiveOwner,Update Records with Inactive Owners,TRUE
PermissionsUseAddOrderItemSummary,Add additional items to an order summary.,FALSE
PermissionsUseAddOrderItemSummaryAPIs,Use Order Management Add Order Item Summary APIs,FALSE
PermissionsUseAdvancedDeliveryEstimationAPI,Use Advanced Delivery Estimation Service APIs,FALSE
PermissionsUseAssistantDialog,Instant Actionable Results,FALSE
PermissionsUseBulkUpdtSalesAgrExprcCloud,Use Bulk Update for Sales Agreements in Experience Cloud,FALSE
PermissionsUseCanCancelInProgressChange,Can cancel Order Management in-progress async calls.,FALSE
PermissionsUseChannelPartnerInvExprcCloud,Use Channel Partner Inventory in Experience Cloud,FALSE
PermissionsUseCompliantDataSharing,Use Compliant Data Sharing,FALSE
PermissionsUseCreateCreditMemo,Create credit memos.,FALSE
PermissionsUseCreateOrderSummary,Create order summaries by using APIs.,FALSE
PermissionsUseCriteriaBasedSearchFilter,Use Criteria-Based Search and Filter,FALSE
PermissionsUseDeliveryEstimation,Use Delivery Estimation Service,FALSE
PermissionsUseDeliveryEstimationAPIs,Use Delivery Estimation Service APIs,FALSE
PermissionsUseEinsteinSalesCoach,Use Agentforce Sales Coach,FALSE
PermissionsUseEnsureFunds,Execute ensure funds.,FALSE
PermissionsUseExpCloudCBSF,Use Criteria-Based Search and Filter for Experience Cloud,FALSE
PermissionsUseFulfillmentAPIs,Use Order Management Fulfillment APIs,FALSE
PermissionsUseInboxSchedulingOnBehalfOf,Inbox Scheduling Proxy User,FALSE
PermissionsUseMySearch,Einstein Search,FALSE
PermissionsUseOMAnalytics,Use Order Management Analytics,FALSE
PermissionsUseOmnichannelInventoryAPIs,Use Omnichannel Inventory APIs,FALSE
PermissionsUseOrderEntry,Use Order Entry,FALSE
PermissionsUseOrderItemSummaryCancel,Cancel order item summaries.,FALSE
PermissionsUseOrderItemSummaryReturn,Execute blind returns.,FALSE
PermissionsUsePaymentCreditAPIs,Use Order Management Payment Credit APIs,FALSE
PermissionsUseQuerySuggestions,Natural Language Search,FALSE
PermissionsUserCanAccessNLPResult,View Natural Language Process Results,FALSE
PermissionsUserCanDeployStore,Users can perform the deployment operation on a store.,FALSE
PermissionsUserCanPerformNLPOperation,Manage Natural Language Process Results,FALSE
PermissionsUseRegisterGuestBuyerAPI,Use Register Guest Buyer API,FALSE
PermissionsUseRepricing,Use Repricing Objects and APIs,FALSE
PermissionsUseReturnOrder,Use Order Management Return Order,FALSE
PermissionsUseReturnOrderAPIs,Use Order Management Return APIs,FALSE
PermissionsUserHasALMSimpleDeployAccess,Enable ALM Simple Deploy User Permission,FALSE
PermissionsUserHasBillingAccount,Access EU User Billing Account,FALSE
PermissionsUserHasEAndUProgramAccess,EU User Program Access,FALSE
PermissionsUserHasEUCore,Access EU Objects,FALSE
PermissionsUserHasSendToListFilterAccess,Send Marketing Emails,FALSE
PermissionsUserHasUsageImpactAccess,EU User Impact Access,FALSE
PermissionsUserHasWorkReportAccess,Manage User Work Report,FALSE
PermissionsUseRouting,Access the Fulfillment Order routing APIs.,FALSE
PermissionsUseServiceCatalogForGuest,Use Service Catalog As A Guest User,FALSE
PermissionsUseServicePartReturn,Manufacturing Cloud Service Part Return Management User,FALSE
PermissionsUseSmartDataDiscovery,Use Einstein Discovery,FALSE
PermissionsUseSubscriptionEmails,Subscribe to CRM Analytics Assets,FALSE
PermissionsUseSvcCatalog,Use Service Catalog,FALSE
PermissionsUseTeamReassignWizards,Use Team Reassignment Wizards,FALSE
PermissionsUseTeamsForItSrvcs,Manage ITSM Teams,FALSE
PermissionsUseTemplatedApp,Use CRM Analytics Templated Apps,FALSE
PermissionsUseWebLink,Allow Access to Customized Actions,FALSE
PermissionsVideoConferenceMeetUser,Use Video Conferencing with Google Meet,FALSE
PermissionsVideoConferenceTeamsUser,Use Video Conferencing with Teams,FALSE
PermissionsVideoConferenceZoomUser,Use Video Conferencing with Zoom,FALSE
PermissionsViewAccessPolicies,View Access Policies,TRUE
PermissionsViewAgtfrceAnlytDshbrd,View Agentforce Analytics Dashboard,FALSE
PermissionsViewAllActivities,View All Activities,TRUE
PermissionsViewAllCalls,View All Voice And Video Calls,TRUE
PermissionsViewAllCustomSettings,View All Custom Settings,TRUE
PermissionsViewAllData,View All Data,TRUE
PermissionsViewAllDataGovPolicies,View All Data Governance Policies,TRUE
PermissionsViewAllDataGovTags,"View All Data Governance Tags, Classifications, and Taxonomies",TRUE
PermissionsViewAllFieldsGlobal,View All Fields (Global),TRUE
PermissionsViewAllForecasts,View All Forecasts,FALSE
